campaign,ad_group,search_term,match_type,added_excluded,clicks,cost_eur,google_ads_conversions,conversion_rate,cost_per_conversion_eur,d1_gmail_paid_lead_evidence,decision,exact_change_if_any,reason
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding bands midlands ireland,Phrase match,None,1,2.14,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - County Wedding Bands,Cork,wedding band cork,Exact match,Added,1,1.35,0.00,0.00%,,,Hold / county watch,,Mostly valid county intent; small sample.
Search - Brand & Bands,Band names,the beat boutique,Phrase match (close variant),None,5,4.41,1.00,20.00%,4.41,Google Ads conversion present; same Brand cluster as Andrea.,Keep / protected,,Has Google Ads conversion or verified paid-lead evidence.
Search - Wedding Bands Ireland,Ceremony and drinks music,irish wedding songs,Phrase match (close variant),None,1,1.39,0.00,0.00%,,,Add exact negative,[irish wedding songs],No conversion or paid-lead evidence; exact-only mismatch/research intent.
Search - County Wedding Bands,Donegal,wedding bands donegal,Exact match,Added,2,2.68,0.00,0.00%,,,Hold / county watch,,Mostly valid county intent; small sample.
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding music ireland,Exact match (close variant),None,1,2.15,0.00,0.00%,,,Hold / needs more data,,Small sample or hidden context; do not change yet.
Search - Wedding Bands Ireland,Wedding bands Ireland,dream band ireland,Phrase match (close variant),None,1,2.20,0.00,0.00%,,,Add phrase negative / duplicate-check,"""dream band""",No conversion or paid-lead evidence; competitor/service leakage. Check existing shared list first.
Search - Wedding Bands Ireland,Wedding band prices,wedding band prices ireland,Exact match,Added,1,2.38,0.00,0.00%,,Verified paid lead Louisa.,Keep / protected,,Has Google Ads conversion or verified paid-lead evidence.
Search - Brand & Bands,Band names,best men band,Exact match (close variant),None,2,1.78,0.00,0.00%,,,Landing page / final URL issue,,Owned band/brand term; route to matching band page.
Search - Wedding Bands Ireland,Band and DJ package,wedding band and dj package,Exact match,Added,2,3.46,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - Wedding Bands Ireland,Wedding band prices,wedding bands waterford,Phrase match (close variant),None,1,2.29,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - County Wedding Bands,Dublin,blue moose wedding band price,Phrase match (close variant),None,1,1.38,0.00,0.00%,,,Add phrase negative / duplicate-check,"""blue moose wedding band""",No conversion or paid-lead evidence; competitor/service leakage. Check existing shared list first.
Search - Wedding Bands Ireland,Wedding bands Ireland,bog the donkey,Phrase match (close variant),Excluded,2,4.34,0.00,0.00%,,,Already excluded / no action,,Already excluded in report; do not duplicate.
Search - County Wedding Bands,Kilkenny,wedding bands kilkenny,Exact match,Added,1,1.37,0.00,0.00%,,,Hold / county watch,,Mostly valid county intent; small sample.
Search - Wedding Bands Ireland,Wedding band prices,best wedding bands northern ireland,Phrase match (close variant),None,1,2.40,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - County Wedding Bands,Kerry,wedding band kerry,Exact match,Added,1,1.38,0.00,0.00%,,,Hold / county watch,,Mostly valid county intent; small sample.
Search - Wedding Bands Ireland,Wedding band prices,jazz wedding bands ireland,Phrase match (close variant),None,1,2.36,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding saxophone player ireland,Phrase match (close variant),None,1,2.14,0.00,0.00%,,,Add phrase negative / duplicate-check,"""wedding saxophone player""",No conversion or paid-lead evidence; competitor/service leakage. Check existing shared list first.
Search - Brand & Bands,Band names,sway social band,Exact match (close variant),None,2,1.77,0.00,0.00%,,,Landing page / final URL issue,,Owned band/brand term; route to matching band page.
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding band ireland,Exact match,Added,1,2.00,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - County Wedding Bands,Cork,up to 90 band cork,Phrase match (close variant),None,1,1.37,0.00,0.00%,,,Add phrase negative / duplicate-check,"""up to 90 band""",No conversion or paid-lead evidence; competitor/service leakage. Check existing shared list first.
Search - Wedding Bands Ireland,Wedding bands Ireland,donegal wedding bands,Phrase match (close variant),None,1,2.13,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - Wedding Bands Ireland,Wedding band prices,wedding bands cork prices,Phrase match (close variant),None,2,4.70,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - Wedding Bands Ireland,Wedding band prices,wedding bands cork,Phrase match (close variant),None,1,2.32,0.00,0.00%,,Verified paid lead Kathy; Google Ads conversion present.,Keep / protected,,Has Google Ads conversion or verified paid-lead evidence.
Search - Wedding Bands Ireland,Wedding bands Ireland,rock wedding bands ireland,Phrase match,None,1,2.10,0.00,0.00%,,,Keep,,Commercial wedding-band intent.
Search - Wedding Bands Ireland,Ceremony and drinks music,drinks reception music ireland,Exact match,Added,1,1.40,0.00,0.00%,,,Hold / needs more data,,Small sample or hidden context; do not change yet.
Search - Wedding Bands Ireland,Band and DJ package,dj saxophone wedding,Phrase match (close variant),Excluded,1,1.78,0.00,0.00%,,,Already excluded / no action,,Already excluded in report; do not duplicate.
Search - Wedding Bands Ireland,Wedding bands Ireland,switch band ireland,Phrase match (close variant),None,1,2.13,0.00,0.00%,,,Add phrase negative / duplicate-check,"""switch band""",No conversion or paid-lead evidence; competitor/service leakage. Check existing shared list first.
Search - Wedding Bands Ireland,Wedding band prices,wedding bands in donegal,Phrase match (close variant),None,1,2.40,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - Wedding Bands Ireland,Wedding band prices,wedding band northern ireland,Phrase match (close variant),None,1,2.24,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - County Wedding Bands,Cork,wedding bands cork,Exact match,Added,2,2.74,1.00,50.00%,2.74,Verified paid lead Kathy; Google Ads conversion present.,Keep / protected,,Has Google Ads conversion or verified paid-lead evidence.
Search - Wedding Bands Ireland,Wedding band prices,good wedding bands cork,Phrase match (close variant),None,1,2.28,0.00,0.00%,,,Landing page / final URL issue,,"Location intent served in price ad group; watch routing, not a negative."
Search - County Wedding Bands,Limerick,limerick wedding bands,Exact match,Added,1,1.40,0.00,0.00%,,,Hold / county watch,,Mostly valid county intent; small sample.
